(WALK TA_XMiller XPadgett XMorgan)
(WALK TA_XMiller XMorgan XBean)
(WALK TA_XMiller XBean XWashington)
(WALK TA_XMiller XWashington XSmith)
(WALK TA_XMiller XSmith XVirtue)
(WALK TA_XMiller XVirtue XPatterson)
(WALK TA_XMiller XPatterson XPerrault)
(WALK TA_XMiller XPerrault XBaker)
(WALK TA_XMiller XBaker XHannon)
(WALK TA_XMiller XHannon XDuckey)
(WALK TA_XMiller XDuckey XPenrod)
(WALK TA_XMiller XPenrod XWalker)
(WALK TA_XMiller XWalker XJoy)
(WALK TA_XMiller XJoy XWallace)
(WALK TA_XMiller XWallace XCork)
(WALK TA_XMiller XCork XHosle)
(WALK TA_XMiller XHosle XCourtney)
(WALK TA_XMiller XCourtney XMedina)
(WALK TA_XMiller XMedina XRivers)
(WALK TA_XMiller XRivers XCarroll)
(WALK TA_XMiller XCarroll XDominguez)
(WALK TA_XMiller XDominguez XBranson)
(WALK TA_XMiller XBranson XSebeniecher)
(WALK TA_XMiller XSebeniecher XSnyder)
(WALK TA_XMiller XSnyder XSkelton)
(WALK TA_XMiller XSkelton XMunoz)
(WALK TA_XMiller XMunoz XCribb)
(WALK TA_XMiller XCribb XBraswell)
(WALK TA_XMiller XBraswell XJenkins)
(WALK TA_XMiller XJenkins XWebb)
(WALK TA_XMiller XWebb XBerka)
(WALK TA_XMiller XBerka XCollins)
(WALK TA_XMiller XCollins XPeters)
(WALK TA_XMiller XPeters XWilson)
(WALK TA_XMiller XWilson XWhite)
(WALK TA_XMiller XWhite XHarris)
(WALK TA_XMiller XHarris XAnderson)
(HOMESAFE TA_XMiller Xanderson)
(DROPOFF TA_XLegrand XHershberger)
(WALK TA_XLegrand XHershberger XMorales)
(WALK TA_XLegrand XMorales XDison)
(WALK TA_XLegrand XDison XTaylor)
(WALK TA_XLegrand XTaylor XFolsom)
(WALK TA_XLegrand XFolsom XRachel)
(WALK TA_XLegrand XRachel XManzi)
(WALK TA_XLegrand XManzi XTorrez)
(WALK TA_XLegrand XTorrez XParks)
(WALK TA_XLegrand XParks XGuerra)
(WALK TA_XLegrand XGuerra XMorris)
(WALK TA_XLegrand XMorris XFord)
(WALK TA_XLegrand XFord XBrewer)
(WALK TA_XLegrand XBrewer XRossi)
(WALK TA_XLegrand XRossi XScalise)
(WALK TA_XLegrand XScalise XRodgers)
(WALK TA_XLegrand XRodgers XWilliams)
(WALK TA_XLegrand XWilliams XLawson)
