(DROPOFF TA_XNunez XBooth)
(WALK TA_XObrien XBurditt XWhitmore)
(WALK TA_XObrien XWhitmore XBeebe)
(WALK TA_XObrien XBeebe XPoirrier)
(WALK TA_XObrien XPoirrier XReed)
(WALK TA_XObrien XReed XLynn)
(WALK TA_XObrien XLynn XLy)
(WALK TA_XObrien XLy XYoung)
(WALK TA_XObrien XYoung XHall)
(WALK TA_XObrien XHall XObrien)
(WALK TA_XObrien XObrien XRodriguez)
(WALK TA_XObrien XRodriguez XJoseph)
(WALK TA_XObrien XJoseph XNunez)
(WALK TA_XObrien XNunez XTrent)
(HOMESAFE TA_XObrien Xtrent)
(DROPOFF TA_XJoseph XBooth)
(WALK TA_XJoseph XBooth XWebb)
(WALK TA_XJoseph XWebb XPhipps)
(WALK TA_XJoseph XPhipps XVolz)
(WALK TA_XJoseph XVolz XAcuff)
(WALK TA_XJoseph XAcuff XGale)
(WALK TA_XJoseph XGale XBell)
(WALK TA_XJoseph XBell XScofield)
(WALK TA_XJoseph XScofield XWare)
(WALK TA_XJoseph XWare XCrain)
(WALK TA_XJoseph XCrain XMondesir)
(WALK TA_XJoseph XMondesir XWhite)
(WALK TA_XJoseph XWhite XValdez)
(WALK TA_XJoseph XValdez XKrul)
(WALK TA_XJoseph XKrul XCorey)
(WALK TA_XJoseph XCorey XTrimarchi)
(WALK TA_XJoseph XTrimarchi XRoy)
(WALK TA_XJoseph XRoy XHogans)
(WALK TA_XJoseph XHogans XBray)
(WALK TA_XJoseph XBray XCosta)
(WALK TA_XJoseph XCosta XBlack)
(WALK TA_XJoseph XBlack XBurns)
(WALK TA_XJoseph XBurns XGrose)
(WALK TA_XJoseph XGrose XBoyd)
(WALK TA_XJoseph XBoyd XTerry)
(WALK TA_XJoseph XTerry XDavis)
(WALK TA_XJoseph XDavis XVann)
(WALK TA_XJoseph XVann XMachenry)
(WALK TA_XJoseph XMachenry XBurroughs)
(WALK TA_XJoseph XBurroughs XJarrette)
(WALK TA_XJoseph XJarrette XSung)
(WALK TA_XJoseph XSung XNorwood)
(WALK TA_XJoseph XNorwood XBradley)
(WALK TA_XJoseph XBradley XCurry)
(WALK TA_XJoseph XCurry XBurditt)
(WALK TA_XJoseph XBurditt XWhitmore)
(WALK TA_XJoseph XWhitmore XBeebe)
(WALK TA_XJoseph XBeebe XPoirrier)
(WALK TA_XJoseph XPoirrier XReed)
(WALK TA_XJoseph XReed XLynn)
(WALK TA_XJoseph XLynn XLy)
(WALK TA_XJoseph XLy XYoung)
(WALK TA_XJoseph XYoung XHall)
(WALK TA_XJoseph XHall XObrien)
(WALK TA_XJoseph XObrien XRodriguez)
(WALK TA_XJoseph XRodriguez XJoseph)
(WALK TA_XJoseph XJoseph XNunez)
(WALK TA_XJoseph XNunez XTrent)
(WALK TA_XJoseph XTrent XLangley)
(HOMESAFE TA_XJoseph Xlangley)
(DROPOFF TA_XCastelli XBooth)
(WALK TA_XCastelli XBooth XWebb)
(WALK TA_XCastelli XWebb XPhipps)
(WALK TA_XCastelli XPhipps XVolz)
(WALK TA_XCastelli XVolz XAcuff)
(WALK TA_XCastelli XAcuff XGale)
(WALK TA_XCastelli XGale XBell)
(WALK TA_XCastelli XBell XScofield)
(WALK TA_XCastelli XScofield XWare)
(WALK TA_XCastelli XWare XCrain)
(WALK TA_XCastelli XCrain XMondesir)
(WALK TA_XCastelli XMondesir XWhite)
(WALK TA_XCastelli XWhite XValdez)
(WALK TA_XCastelli XValdez XKrul)
(WALK TA_XCastelli XKrul XCorey)
(WALK TA_XCastelli XCorey XTrimarchi)
(WALK TA_XCastelli XTrimarchi XRoy)
(WALK TA_XCastelli XRoy XHogans)
(WALK TA_XCastelli XHogans XBray)
(WALK TA_XCastelli XBray XCosta)
(WALK TA_XCastelli XCosta XBlack)
(WALK TA_XCastelli XBlack XBurns)
(WALK TA_XCastelli XBurns XGrose)
